Listed ticketer,GICS Sector,GICS Sub Industry,Category & Note,Sectcor
PLL,Health Care,Medical Equipment & Devices,43,5
STJ,Health Care,Health Care Equipment & Services,43,5
SYK,Health Care,Health Care Equipment & Services,43,5
TMO,Health Care,Health Care Equipment & Services,43,5
VAR,Health Care,Health Care Equipment & Services,43,5
ZMH,Health Care,Medical Equipment & Devices,43,5
BA,Industrials,Aerospace & Defense,45,6
FLIR,Industrials,Aerospace & Defense,45,6
GD,Industrials,Aerospace & Defense,45,6
GR,Industrials,Aerospace & Defense,45,6
LMT,Industrials,Aerospace & Defense,45,6
NOC,Industrials,Aerospace & Defense,45,6
RTN,Industrials,Aerospace & Defense,45,6
CHRW,Industrials,Air Freight & Logistics,46,6
EXPD,Industrials,Air Freight & Logistics,46,6
FDX,Industrials,Air Freight & Logistics,46,6
UPS,Industrials,Air Freight & Logistics,46,6
LUV,Industrials,Airlines,47,6
CAT,Industrials,Construction & Farm Machinery & Heavy Trucks,49,6
DE,Industrials,Construction & Farm Machinery & Heavy Trucks,49,6
FAST,Industrials,Building Products,49,6
GLW,Industrials,Construction & Engineering,49,6
MAS,Industrials,Building Products,49,6
MTW,Industrials,Construction & Mining Machinery,49,6
PCAR,Industrials,Construction & Farm Machinery & Heavy Trucks,49,6
CBE,Industrials,Electrical Equipment,51,6
MOLX,Industrials,Electrical Equipment,51,6
PBI,Industrials,Office Services & Supplies,51,6
COL,Industrials,Industrial Conglomerates,53,6
EMR,Industrials,Industrial Conglomerates,53,6
ETN,Industrials,Industrial Conglomerates,53,6
GE,Industrials,Industrial Conglomerates,53,6
HON,Industrials,Industrial Conglomerates,53,6
IR,Industrials,Industrial Conglomerates,53,6
JEC,Industrials,Industrial Conglomerates,53,6
LEG,Industrials,Industrial Conglomerates,53,6
LLL,Industrials,Industrial Conglomerates,53,6
MMM,Industrials,Industrial Conglomerates,53,6
PCP,Industrials,Industrial Conglomerates,53,6
PH,Industrials,Industrial Conglomerates,53,6
R,Industrials,Industrial Conglomerates,53,6
ROK,Industrials,Industrial Conglomerates,53,6
RSG,Industrials,Industrial Conglomerates,53,6
SRCL,Industrials,Industrial Conglomerates,53,6
TXT,Industrials,Industrial Conglomerates,53,6
TYC,Industrials,Industrial Conglomerates,53,6
UTX,Industrials,Industrial Conglomerates,53,6
CMI,Industrials,Industrial Machinery,54,6
DHR,Industrials,Industrial Machinery,54,6
DOV,Industrials,Industrial Machinery,54,6
FLS,Industrials,Industrial Machinery,54,6
GWW,Industrials,Industrial Materials,54,6
ITT,Industrials,Flow Control Equipment,54,6
ITW,Industrials,Industrial Machinery,54,6
CSX,Industrials,Railroads,55,6
NSC,Industrials,Railroads,55,6
UNP,Industrials,Railroads,55,6
ACS,Industrials,Construction & Engineering,99,6
BNI,Industrials,Transportation & Logistics,99,6
CTAS,Industrials,Diversified Support Services,99,6
FLR,Industrials,Diversified Commercial Services,99,6
RHI,Industrials,Human Resource & Employment Services,99,6
WMI,Industrials,Waste & Environ Svcs & Equip,99,6
EK,Information Technology,Office Electronics,51,7
JBL,Information Technology,Electronics Manufacturing Services[,51,7
LXK,Information Technology,Office Electronics,51,7
ADBE,Information Technology,Application Software,56,7
ADSK,Information Technology,Application Software,56,7
BMC,Information Technology,software,56,7
CA,Information Technology,Systems Software,56,7
CPWR,Information Technology,"Software, Infrastructure Software",56,7
ERTS,Information Technology,Application Software,56,7
MFE,Information Technology,software,56,7
MSFT,Information Technology,Systems Software,56,7
NOVL,Information Technology,software,56,7
ORCL,Information Technology,Application Software,56,7
SYMC,Information Technology,Application Software,56,7
TDC,Information Technology,Application Software,56,7
CIEN,Information Technology,Communications Equipment,57,7
CSCO,Information Technology,Networking Equipment,57,7
HRS,Information Technology,Telecommunications Equipment,57,7
JDSU,Information Technology,Communications Equipment,57,7
JNPR,Information Technology,Networking Equipment,57,7
MOT,Information Technology,Communications Equipment,57,7
TLAB,Information Technology,Communications Equipment,57,7
AAPL,Information Technology,Computer Hardware,58,7
AMD,Information Technology,Computer Hardware,58,7
DELL,Information Technology,Hardware,58,7
HPQ,Information Technology,Computer Hardware,58,7
JAVA,Information Technology,Hardware,58,7
QLGC,Information Technology,hardware,58,7
SNDK,Information Technology,Computer Storage & Peripherals,58,7
ADP,Information Technology,Internet Software & Services,59,7
AKAM,Information Technology,Internet Software & Services,59,7
CRM,Information Technology,Internet Software & Services,59,7
CSC,Information Technology,IT Consulting & Services,59,7
CTSH,Information Technology,IT Consulting & Services,59,7
CTXS,Information Technology,Internet Software & Services,59,7
CVG,Information Technology,Technology Services,59,7
EBAY,Information Technology,Internet Software & Services,59,7
EMC,Information Technology,IT Consulting & Services,59,7
FIS,Information Technology,Internet Software & Services,59,7
FISV,Information Technology,Internet Software & Services,59,7
GOOG,Information Technology,Internet Software & Services,59,7
IBM,Information Technology,IT Consulting & Services,59,7
INTU,Information Technology,Internet Software & Services,59,7
MA,Information Technology,Internet Software & Services,59,7
MHP,Information Technology,IT Consulting & Information Services,59,7
MWW,Information Technology,Internet Software & Services,59,7
NTAP,Information Technology,Internet Software & Services,59,7
PAYX,Information Technology,Internet Software & Services,59,7
TSS,Information Technology,Internet Software & Services,59,7
VRSN,Information Technology,Internet Software & Services,59,7
WU,Information Technology,Internet Software & Services,59,7
XRX,Information Technology,IT Consulting & Services,59,7
YHOO,Information Technology,Internet Software & Services,59,7
ADI,Information Technology,Semiconductors,61,7
ALTR,Information Technology,Semiconductors,61,7
AMAT,Information Technology,Semiconductor Equipment,61,7
BRCM,Information Technology,Semiconductors,61,7
INTC,Information Technology,Semiconductors,61,7
KLAC,Information Technology,Semiconductor Equipment,61,7
LLTC,Information Technology,Semiconductors,61,7
LSI,Information Technology,Semiconductor Devices,61,7
MCHP,Information Technology,Semiconductors,61,7
MU,Information Technology,Semiconductors,61,7
NSM,Information Technology,Semiconductor Devices,61,7
NVDA,Information Technology,Semiconductors,61,7
NVLS,Information Technology,Semiconductor Mfg,61,7
QCOM,Information Technology,Semiconductors,61,7
TER,Information Technology,Semiconductor Mfg,61,7
TXN,Information Technology,Semiconductors,61,7
XLNX,Information Technology,Semiconductors,61,7
DNB,Information Technology,Information Services,59,7
AA,Materials,Aluminum,62,8
ATI,Materials, specialty metals company,62,8
BLL,Materials,Metal & Glass Containers,62,8
FCX,Materials,Diversified Metals & Mining,62,8
NEM,Materials,Gold,62,8
OI,Materials,Metal & Glass Containers,62,8
APD,Materials,Industrial Gases,63,8
ASH,Materials,Chemicals,63,8
CF,Materials,Fertilizers & Agricultural Chemicals,63,8
DD,Materials,Diversified Chemicals,63,8
DOW,Materials,Diversified Chemicals,63,8
